Volume, Process, Particle, Process, Radius, theta, phi, SecondaryParent, EnergyDeposit
 \\\\\\\\\\  Run 0 start. ////////////////////
================= EVENT 1 =================
================= EVENT 2 =================
================= EVENT 3 =================
================= EVENT 4 =================
================= EVENT 5 =================
================= EVENT 6 =================
================= EVENT 7 =================
================= EVENT 8 =================
================= EVENT 9 =================
================= EVENT 10 =================
Primary ,Gas,neutronInelastic,2112.000000,9.491037,0.286495,2.281513,0.000000,0.000000
Secondary ,Gas,ionIoni,1000070140.000000,9.495051,0.285955,2.281085,1.000000,0.000093
Secondary ,Gas,ionIoni,1000070140.000000,9.495054,0.285954,2.281085,1.000000,0.000049
Secondary ,Gas,ionIoni,1000070140.000000,9.495067,0.285953,2.281083,1.000000,0.000047
Secondary ,Gas,ionIoni,1000070140.000000,9.495079,0.285951,2.281082,1.000000,0.000025
Secondary ,Gas,ionIoni,1000070140.000000,9.495084,0.285950,2.281081,1.000000,0.000035
Secondary ,Gas,ionIoni,1000070140.000000,9.495093,0.285949,2.281080,1.000000,0.000037
Secondary ,Gas,ionIoni,1000070140.000000,9.495129,0.285944,2.281077,1.000000,0.000291
Secondary ,Gas,ionIoni,1000070140.000000,9.495143,0.285943,2.281075,1.000000,0.000045
Secondary ,Gas,ionIoni,1000070140.000000,9.495163,0.285940,2.281073,1.000000,0.000061
Secondary ,Gas,ionIoni,1000070140.000000,9.495180,0.285937,2.281071,1.000000,0.000058
Secondary ,Gas,ionIoni,1000070140.000000,9.495217,0.285932,2.281067,1.000000,0.000385
Secondary ,Gas,ionIoni,1000070140.000000,9.495217,0.285932,2.281067,1.000000,0.000000
Secondary ,Gas,ionIoni,1000070140.000000,9.495241,0.285929,2.281065,1.000000,0.000236
Secondary ,Gas,ionIoni,1000070140.000000,9.495284,0.285924,2.281060,1.000000,0.000163
Secondary ,Gas,ionIoni,1000070140.000000,9.495287,0.285923,2.281060,1.000000,0.000000
Secondary ,Gas,ionIoni,1000070140.000000,9.495322,0.285919,2.281056,1.000000,0.000190
Secondary ,Gas,ionIoni,1000070140.000000,9.495327,0.285918,2.281055,1.000000,0.000006
Secondary ,Gas,ionIoni,1000070140.000000,9.495342,0.285916,2.281054,1.000000,0.000014
Secondary ,Gas,ionIoni,1000070140.000000,9.495353,0.285914,2.281053,1.000000,0.000030
Secondary ,Gas,ionIoni,1000070140.000000,9.495376,0.285911,2.281050,1.000000,0.000245
Secondary ,Gas,ionIoni,1000070140.000000,9.495403,0.285908,2.281047,1.000000,0.000279
Secondary ,Gas,ionIoni,1000070140.000000,9.495415,0.285906,2.281046,1.000000,0.000008
